"study","varname","dataset","concept","description","description_long","boost"
"soep-long","binta","biol","binta","The variable is available for 29 years, ranging from 1984 to 2015.","#### 1984
* SOEPcore: biolela_binta

#### 1987
* SOEPcore: biolela_binta

#### 1988
* SOEPcore: biolela_binta

#### 1990
* SOEPcore: biolela_binta

#### 1991
* SOEPcore: biolela_binta

#### 1992
* SOEPcore: biolela_binta

#### 1993
* SOEPcore: biolela_binta

#### 1994
* SOEPcore: biolela_binta

#### 1995
* SOEPcore: biolela_binta

#### 1996
* SOEPcore: mbinta

#### 1997
* SOEPcore: nbinta

#### 1998
* SOEPcore: obinta

#### 1999
* SOEPcore: pbinta

#### 2000
* SOEPcore: qbinta

#### 2001
* SOEPcore: rbinta

#### 2002
* SOEPcore: sbinta

#### 2003
* SOEPcore: tbinta

#### 2004
* SOEPcore: ubinta

#### 2005
* SOEPcore: vbinta

#### 2006
* SOEPcore: wbinta

#### 2007
* SOEPcore: xbinta

#### 2008
* SOEPcore: ybinta

#### 2009
* SOEPcore: zbinta

#### 2010
* SOEPcore: babinta

#### 2011
* SOEPcore: bbbinta

#### 2012
* SOEPcore: bcbinta

#### 2013
* SOEPcore: bdbinta

#### 2014
* SOEPcore: bebinta

#### 2015
* SOEPcore: bfbinta
",0.94
"soep-long","binta01","biol","binta01","The variable is available for 6 years, ranging from 1984 to 1995.","#### 1984
* SOEPcore: NOT!_binta011984

#### 1990
* SOEPcore: NOT!_binta011990

#### 1991
* SOEPcore: NOT!_binta011991

#### 1993
* SOEPcore: NOT!_binta011993

#### 1994
* SOEPcore: NOT!_binta011994

#### 1995
* SOEPcore: NOT!_binta011995
",0.19
"soep-long","binta02","biol","binta02","The variable is available for 2 years, ranging from 1994 to 1995.","#### 1994
* SOEPcore: NOT!_binta021994

#### 1995
* SOEPcore: NOT!_binta021995
",0.06
"soep-long","bintb","biol","bintb","The variable is available for 3 years, ranging from 1990 to 1992.","#### 1990
* SOEPcore: NOT!_bintb1990

#### 1991
* SOEPcore: NOT!_bintb1991

#### 1992
* SOEPcore: NOT!_bintb1992
",0.1
"soep-long","bintb1","biol","bintb1","The variable is available for 8 years, ranging from 1984 to 1996.","#### 1984
* SOEPcore: biolela_bintb1

#### 1987
* SOEPcore: biolela_bintb1

#### 1988
* SOEPcore: biolela_bintb1

#### 1992
